name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
white button mushrooms,31,2.89,0.37,4.08,1.7,5,0.23,10.2,93,372,6,0.51,0.389,0.504,0,20,0,0,0.077,0,0
raw green cabbage,31,0.96,0.23,6.38,0,42,0.07,13.9,27,207,16,0.31,0.025,0.248,0,0,6.9,0,0.138,0,40.3
brussels sprouts,59,3.98,0.56,9.62,4.8,39,0.73,25,79,477,26,0.36,0.038,0.24,0,0,0,0,0,0,143
cauliflower,28,1.64,0.24,4.72,1.9,20,0.33,14.2,40,274,20,0.23,0.024,0.141,0,0,0,0,0,0,67.1
garlic,143,6.62,0.38,28.2,2.7,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,10
red onion,44,0.94,0.1,9.93,2.2,17,0.24,11.4,41,197,1,0.17,0.058,0.119,10,0.5,0,0,0,0,8.1
white onion,36,0.89,0.13,7.68,1.2,21,0.15,9.3,29,141,2,0.12,0.047,0.099,0,2.5,0,0,0,0,0
yellow onion,38,0.83,0.05,8.61,1.9,15,0.28,9,34,182,1,0.2,0.035,0.144,10,2.5,0,0,0,0,8.2
celery,17,0.49,0.16,3.32,1.6,46,0.25,10.9,22,265,97,0.09,0.025,0.076,0,2.5,2.5,0,0.052,0,0
cucumber,15,0.65,0.1,3.25,1,16,0.25,10.1,23,170,2,0.2,0.063,0.085,0,0,3.7,0,0,0,0
arugula,31,1.65,0.32,5.37,2.3,204,1.39,42.6,51,407,87,0.35,0.083,0.514,0,0,0,0,0,0,101
asparagus,28,1.44,0.22,5.1,1.9,21,0.44,13.8,54,278,2,0.6,0.132,0.146,0,0,0,0,0.122,0,9.2
beets,45,1.69,0.3,8.79,3.1,14,0.43,21,34,342,112,0.31,0.161,0.257,0,0,0,0,0,0,3.6
gold potato,73,1.81,0.26,16,13.8,6,0.37,22.3,57,446,2,0.37,0.13,0.16,0,2.5,7.8,0,0.145,0,23.3
red potato,76,2.06,0.25,16.3,13.8,5,0.39,23.6,56,455,3,0.39,0.091,0.165,0,2.5,7.4,0,0.144,0,21.3
vegetable stock,6,0,0,0.85,0,0,0,0,0,21,234,0,0,0,0,0,0,0,0,0,0
avocado,223,1.81,20.3,8.32,0,14,0.61,32.8,32,576,2.49,0.46,0.285,0.197,0,0,0,0,0.167,0,4
extra virgin olive oil,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salted almonds,667,20.4,57.8,16.2,11,273,3.17,258,456,684,256,2.8,0.87,2.02,0,0,0,0,0.075,0,0
walnuts,730,14.6,69.7,10.9,5.2,88,2.24,142,365,424,2.5,2.76,1.21,3,0,0,21,0,0.66,0,0
peanut butter,632,24,49.4,22.7,6.3,50,1.85,193,393,654,221,3.06,0.54,1.68,0,20.2,0,0,0.38,0,0
dry raw chia seeds,517,17,32.9,38.3,0,595,6.04,326,691,642,16,5.56,1.57,7.56,0,0,0,0,0.202,0,0
flaxseed,545,18,37.3,34.4,23.1,230,5.78,372,556,793,37,4.74,1.34,2.4,0,136,0,0,0.393,0,0
sunflower seeds,657,21,56.1,17.1,10.3,78,5.21,358,750,689,532,6,1.83,2.89,0,80.4,0,0,0.76,0,0
kerrygold butter,714,0,78.57,0,0,24,0,2,19,19,10,0.07,0.001,0,0,0,0,0,0,0,0
heavy cream,333,0,33,66,0,70,0.1,4,57,97,21,0.22,0.04,0.08,19.4,0,0,0,0.031,0.44,0
american cheese,375,17.5,31.1,6.35,0,508,0.24,25,380,173,1600,2.45,0.042,0.018,54.1,0,0,0,0,0,0
